,text_lenght,links,lang_links,titles,sections,back_links,categories
358,6656,35,0,27,4,1,14
359,348,7,4,5,0,4,4
360,1067,16,0,15,1,4,4
361,2658,69,3,15,5,13,11
362,194,11,1,9,2,3,8
363,7197,94,13,25,8,100,11
364,820,107,4,14,1,4,4
365,340,47,1,19,3,30,10
366,2174,121,4,16,3,142,8
367,1563,28,0,17,2,1,3
368,103,55,10,11,0,40,8
369,2714,85,0,4,3,49,8
370,3169,68,10,14,5,16,15
371,1493,21,0,6,4,6,10
372,45464,643,9,23,15,14,19
373,941,31,1,23,0,9,18
374,651,99,4,20,1,8,6
375,978,85,0,26,4,165,13
376,819,265,5,27,2,242,13
377,382,15,4,22,0,3,13
378,1499,28,3,12,3,9,9
379,123,19,5,18,0,4,7
380,1173,19,0,10,5,86,9
381,5531,1133,11,11,7,1145,8
382,1813,14,0,13,2,8,13
383,1354,16,1,15,1,4,10
384,6011,30,0,42,10,0,9
385,195,13,10,9,0,13,12
386,0,0,0,29,0,0,0
387,11373,1262,7,13,7,1336,7
388,15126,327,0,33,12,33,15
389,0,0,0,31,0,0,0
390,4508,218,1,4,3,186,12
391,161,22,7,15,0,2,7
392,2616,55,18,24,7,14,5
393,1127,120,25,23,1,94,12
394,1244,37,5,32,4,12,21
395,531,30,1,7,1,17,6
396,370,10,1,6,2,2,4
397,726,35,0,24,1,50,18
398,32509,249,95,5,5,1622,19
399,4251,141,5,18,7,119,25
400,1888,149,1,20,3,114,8
401,0,0,0,14,0,0,0
402,1241,27,2,32,4,11,14
403,202,152,9,31,3,201,5
404,7535,38,0,22,6,15,13
405,820,179,5,34,3,73,7
406,10210,13,1,22,2,21,2
407,262,151,4,11,0,129,11
408,1064,127,1,35,3,113,5
409,1845,514,0,37,8,195,7
410,346,7,1,32,1,1,4
411,15635,567,93,17,11,2055,19
412,2212,39,9,21,3,34,24
413,270,80,4,12,0,57,7
414,284,14,1,11,2,20,18
415,2403,38,4,27,4,15,14
416,988,12,6,9,2,10,7
417,0,0,0,42,0,0,0
418,628,14,11,10,3,12,5
419,263,136,1,31,4,88,5
420,572,49,0,26,1,3,10
421,3631,110,1,17,3,33,5
422,872,18,2,5,4,38,4
423,444,19,1,26,0,24,12
424,4350,177,0,18,4,3,8
425,1701,86,0,21,3,40,8
426,819,222,24,15,2,1,7
427,693,16,0,13,0,17,14
428,3132,178,0,28,13,19,11
429,3415,36,1,28,6,12,22
430,18736,220,17,42,9,2,20
431,7777,69,2,20,7,6,19
432,2407,9,0,18,5,6,1
433,308,158,9,13,0,133,9
434,25508,173,28,4,8,691,25
435,2037,13,0,13,2,4,4
436,2536,190,2,29,7,300,2
437,1932,16,0,11,2,15,8
438,160,38,6,41,0,32,6
439,8420,319,0,30,6,253,12
440,4077,37,0,18,3,32,7
441,612,23,3,9,3,7,29
442,1735,32,0,21,2,11,16
443,2280,46,14,12,3,14,10
444,4484,50,3,17,9,41,13
445,221,5,0,13,0,3,4
446,545,29,1,20,2,10,9
447,470,49,2,26,1,21,12
448,1554,16,0,33,3,17,10
449,4237,22,5,28,3,43,8
450,2472,46,3,28,7,54,26
451,2528,13,0,30,5,0,8
452,21056,310,0,11,7,396,14
453,153,5,2,4,0,5,4
454,3176,90,0,31,7,70,14
455,8083,124,3,11,3,0,12
456,6566,83,4,13,3,182,11
457,1782,27,11,10,3,39,17
458,239,104,4,15,4,14,16
459,1266,29,5,20,3,3,15
460,1153,60,32,16,5,47,22
461,3829,90,1,60,9,17,13
462,2656,38,1,19,5,7,27
463,0,0,0,24,0,0,0
464,5204,192,2,35,9,2,15
465,9493,89,24,14,10,32,27
466,4017,197,6,19,2,186,15
467,329,17,6,28,2,14,9
468,2868,58,2,25,3,38,5
469,2001,103,0,4,3,49,5
470,17284,142,39,25,9,6,40
471,482,15,10,7,1,9,4
472,4262,243,1,38,17,351,7
473,4295,207,27,21,3,221,17
474,643,11,1,16,0,9,15
475,684,25,4,12,3,15,21
476,131,5,0,22,1,8,4
477,1855,196,37,9,6,10,15
478,516,70,0,7,1,37,10
479,703,27,0,34,5,4,8
480,313,21,2,24,1,4,16
481,7626,61,1,38,6,9,26
482,8730,993,7,19,7,111,21
483,1706,20,0,22,5,17,15
484,322,93,7,16,0,81,7
485,1450,32,7,16,2,13,20
486,2172,75,51,9,6,56,16
487,4504,88,26,11,6,66,18
488,4394,97,0,10,5,7,13
489,619,14,22,8,1,4,5
490,231,268,11,16,2,241,8
491,865,23,12,21,4,6,4
492,373,93,0,27,2,3,2
493,5639,62,3,19,4,36,29
494,1526,366,1,24,6,378,6
495,1717,19,0,27,1,13,3
496,5315,66,0,25,4,26,25
497,6478,111,3,25,6,132,18
498,662,20,1,25,0,11,16
499,8653,762,11,5,6,147,18
500,562,141,0,32,2,42,6
501,27810,96,11,13,10,8,13
502,152,12,1,12,0,7,8
503,228,5,1,8,0,3,4
504,6375,85,31,6,11,64,30
505,1805,21,0,23,3,14,13
506,544,36,1,15,2,25,19
507,968,125,1,15,4,86,14
508,574,102,2,25,1,119,4
509,156,189,14,8,0,174,6
510,327,5,0,22,0,4,4
511,2522,45,12,26,7,17,30
512,932,18,1,11,0,15,12
513,701,196,7,7,2,182,4
514,478,53,0,23,2,24,10
515,900,21,3,18,3,4,7
516,610,89,9,20,5,75,21
517,34782,384,7,27,11,13,40
518,294,35,6,16,2,7,8
519,2149,25,1,11,5,15,19
520,503,9,0,12,2,5,4
521,0,0,0,25,0,0,0
522,1095,246,40,21,6,465,17
523,352,8,2,5,2,5,5
524,2691,33,1,29,2,17,12
525,264,12,0,24,1,9,7
526,582,8,1,21,1,8,5
527,245,83,1,34,3,34,6
528,392,603,0,47,2,732,16
529,1078,49,1,11,2,26,22
530,262,128,6,10,0,106,7
531,1634,35,0,11,5,8,16
532,0,0,0,24,0,0,0
533,1858,280,2,30,5,74,6
534,0,0,0,15,0,0,0
535,358,14,0,20,0,30,9
536,7523,98,2,16,7,92,17
537,605,21,0,24,3,44,19
538,110,12,1,11,1,7,9
539,4753,60,3,12,5,45,29
540,2410,30,4,8,3,12,10
541,1176,15,0,15,3,24,11
542,0,0,0,23,0,0,0
543,8567,211,27,17,6,5,12
544,748,23,3,11,2,9,4
545,9016,386,29,3,13,443,22
546,787,16,4,3,0,10,4
547,3854,69,0,19,2,11,16
548,4666,148,14,32,10,3,77
549,78655,638,43,27,12,8,37
550,90318,449,1,21,9,4,8
551,176,25,4,7,2,11,7
552,0,0,0,17,0,0,0
553,887,45,9,11,2,30,9
554,5503,96,4,16,6,16,25
555,2602,28,1,22,2,7,13
556,46734,811,29,13,5,4,30
557,708,63,0,4,3,1,6
558,4395,40,1,6,5,15,14
559,6746,582,1,16,9,1,25
560,1636,17,3,18,5,32,12
561,1772,30,0,12,2,18,17
562,0,0,0,34,0,0,0
563,45205,435,67,15,9,0,27
564,383,104,2,12,2,106,9
565,1623,145,7,28,5,1,4
566,7754,91,6,15,9,128,29
567,272,20,3,16,2,8,19
568,6169,473,32,26,6,337,20
569,0,0,0,30,0,0,0
570,17915,80,1,12,15,6,23
571,11866,82,2,36,6,102,10
572,0,0,0,17,0,0,0
573,526,190,1,14,2,337,11
574,2092,29,2,15,6,20,16
575,3122,201,2,38,7,191,8
576,724,30,2,11,1,14,28
577,2083,616,10,11,3,4,8
578,1956,15,1,11,3,7,6
579,297,100,4,27,1,4,7
580,8517,134,3,10,6,63,9
581,727,84,2,21,1,6,5
582,13254,840,6,23,8,18,22
583,2046,56,1,31,3,40,7
584,314,10,9,11,2,38,9
585,2477,92,0,26,3,2,10
586,5326,309,2,29,4,10,19
587,0,0,0,22,0,0,0
588,283,125,1,9,1,3,14
589,1356,35,16,22,2,16,11
590,2386,166,3,33,5,154,36
591,5485,30,14,13,7,93,7
592,863,57,11,10,3,0,5
593,319,8,2,13,1,13,10
594,50865,512,1,15,10,188,7
595,815,60,2,21,2,33,11
596,5502,175,14,10,10,322,11
597,1407,35,3,14,2,14,12
598,3972,54,5,6,4,1,23
599,236,10,7,10,1,15,7
600,159,23,2,20,0,3,9
601,5937,115,1,18,6,120,5
602,972,33,7,25,2,13,5
603,1085,436,2,27,6,29,5
604,6688,39,5,10,4,4,16
605,4381,78,2,36,6,51,8
606,2813,13,6,11,7,17,8
607,442,80,16,13,2,14,26
608,11646,97,0,33,9,11,10
609,712,46,3,15,1,17,12
610,1429,24,2,29,4,9,11
611,156,13,1,12,0,13,14
612,250,44,2,15,2,42,17
613,3427,44,1,11,4,48,15
614,464,56,21,12,4,39,12
615,1116,277,1,20,5,152,12
616,41637,469,69,7,11,99,30
617,541,13,16,5,3,9,6
618,206,238,0,48,2,0,6
619,83607,927,192,8,13,5768,67
620,166,11,0,23,2,7,13
621,154,12,2,15,0,4,14
622,457,70,1,7,1,48,5
623,302,15,7,10,1,16,18
624,423,153,2,64,3,123,4
625,16088,242,31,14,10,340,40
626,12819,203,2,18,8,15,12
627,7701,119,7,17,6,110,9
628,1047,27,7,18,5,17,18
629,1039,393,2,26,6,56,12
630,124,8,0,8,1,8,6
631,2498,72,1,30,6,68,11
632,274,1054,3,37,12,7,3
633,4314,73,2,11,4,27,15
634,817,14,6,6,3,12,6
635,2126,33,0,22,4,10,15
636,218,152,3,37,2,3,9
637,1397,32,3,13,4,14,17
638,4634,189,1,67,7,3,10
639,1278,21,1,10,1,9,11
640,3178,44,1,24,2,21,20
641,2339,131,4,9,4,5,5
642,578,75,2,15,2,6,8
643,1264,20,16,5,1,13,4
644,8732,95,19,15,7,257,22
645,339,13,3,20,2,25,6
646,219,18,1,53,2,4,13
647,108,46,6,10,0,10,6
648,0,0,0,15,0,0,0
649,8226,131,12,22,5,1,8
650,1440,27,3,26,2,55,8
651,1455,95,2,53,2,8,9
652,1713,228,0,20,6,2,6
653,2841,34,0,15,5,17,14
